Country,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,1.29,0.27,1.00,92.61,73.89,100.00,1.36,0.27,3.00,95.24,79.05,99.52,1.03,0.33,2.00,80.29,69.71,92.31,0.86,0.36,2.00,75.96,63.46,90.87,1.26,0.21,3.00,86.54,78.85,91.83,1.22,0.29,2.00,85.10,75.96,92.31
Andorra,ADO,1.14,0.22,2.00,87.19,72.91,96.06,1.62,0.29,3.00,98.57,90.95,100.00,1.91,0.46,1.00,98.08,84.13,100.00,1.23,0.49,1.00,86.06,66.83,99.52,1.58,0.50,1.00,90.87,76.92,100.00,1.23,0.41,1.00,87.50,70.19,95.19
Afghanistan,AFG,-0.99,0.13,10.00,21.67,15.76,25.12,-2.65,0.24,6.00,0.95,0.00,2.86,-1.46,0.24,8.00,7.21,1.92,13.46,-1.12,0.19,9.00,10.10,6.25,19.71,-1.71,0.16,11.00,4.33,0.96,5.29,-1.40,0.16,10.00,6.73,1.92,12.02
Angola,AGO,-0.78,0.12,11.00,25.62,21.67,30.05,-0.31,0.24,6.00,35.24,20.95,50.00,-1.12,0.19,10.00,12.98,7.21,19.71,-0.89,0.17,10.00,16.35,9.62,29.33,-1.05,0.15,12.00,13.46,6.73,20.67,-1.05,0.15,11.00,13.94,9.13,23.08
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.37,0.31,2.00,96.19,75.24,99.52,0.82,0.46,1.00,76.44,54.81,92.31,0.85,0.49,1.00,75.48,57.21,94.23,0.36,0.50,1.00,63.46,35.10,85.58,1.23,0.41,1.00,87.50,70.19,95.19
Albania,ALB,0.15,0.13,10.00,52.22,42.86,59.11,0.12,0.23,7.00,52.86,37.14,62.38,-0.06,0.22,8.00,50.48,36.54,63.46,0.27,0.18,9.00,63.94,53.37,71.63,-0.41,0.14,12.00,38.94,27.40,47.12,-0.53,0.14,11.00,33.17,25.00,44.23
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,-1.12,0.13,8.00,17.73,12.81,22.66,0.70,0.23,8.00,69.52,59.05,87.14,1.38,0.22,8.00,88.94,79.81,95.67,0.98,0.20,9.00,78.37,73.08,87.50,0.84,0.16,10.00,77.88,71.63,83.65,1.11,0.16,8.00,83.65,79.33,88.94
Argentina,ARG,0.60,0.12,14.00,66.50,61.08,72.91,-0.12,0.23,8.00,43.33,27.62,55.71,-0.09,0.19,11.00,49.04,36.54,62.02,-0.49,0.17,11.00,33.65,20.19,46.15,-0.43,0.14,15.00,37.02,26.92,46.63,-0.07,0.13,15.00,53.37,45.19,60.58
Armenia,ARM,0.05,0.13,9.00,47.78,39.90,55.67,-0.51,0.24,6.00,27.62,15.71,43.33,-0.07,0.21,9.00,50.00,36.54,62.98,0.25,0.19,9.00,63.46,51.92,71.15,-0.13,0.15,12.00,49.04,40.87,57.69,-0.18,0.15,11.00,50.00,37.50,59.13
